keys,fr,en
TITRE,Clan de place,Clan de place
M1_OUVRIR,Ouvrir un fichier,Open
M1_RIEN_A_OUVRIR,Pas de fichier.,No file.
M2_ACCES_DOSSIER,Accéder au dossier,Access directory
M3_SAUVEGARDER,Sauvegarder comme,Save as
M4_CAPTURER,Capturer comme,Capture as
M5_FRANCAIS,fr,fr
M5_ANGLAIS,en,en
M6_AIDE,Aide et à propos,Help & About
M7_RONDE,Ronde des paires,Round-robin pairing
O0_CLASSE_ELEVES,Classe et élèves,Division and pupils
O01_CLASSE,[b]Classe[/b],[b]Division[/b]
O02_CLASSE,Nom de la classe,Division name
O03_TITRE_ELEVES,[b]Élèves[/b],[b]Pupils[/b]
O03_ELEVE,Nom à ajouter,New name
O03_SUPPR_NOM,Effacer dernier,Delete last
O03_EFFACER_ELEVES,Effacer tous,Delete all
O04_TRIS,[b]Trier[/b],[b]Sort[/b]
O04_AZ,A → Z,A → Z
O04_ZA,Z → A,Z → A
O05_ELEVES,Élève(s),Pupil(s)
O1_AFFINITES,Affinités         ,Affinities         
O11_LECTURE_TABLEAU,Lecture : Les élèves de la colonne de gauche ont donné des points d’affinité aux élèves de la ligne du haut.,Reading : Pupils in the left-hand column have awarded affinity points to pupils in the top row.
O12_EFFACER_AFFINITES,Effacer toutes les affinités,Delete all affinities
O13_QUESTION,Question posée,Poll question
O2_SOCIOGRAMME,Sociogramme  ,Sociogram      
O21_RESET_SOCIO,Réinitialiser,Reset
O22_LIENS,[b]Liens[/b],[b]Links[/b]
O3_PLAN,Plan de classe      ,Seating plan        
O31_AJOUTER,Ajouter une table,Add a desk
O32_ENLEVER,Enlever une table,Remove a desk
O33_RETOURNER,Retourner le plan,Flip the plan
A_AIDE_AP,Aide et à propos,Help & About
A1_INTRO," est un logiciel d'aide à la décision pour faire des plans de classe. Avec 30 élèves, et 30 places, vous avez 30! solutions possibles pour les installer (un nombre à 33 chiffres). Ce logiciel devrait vous permettre d'y voir un peu plus clair à un instant t."," is a decision-support program for creating seating plans. With 30 students, and 30 seats, you have 30! possible solutions to install them (a 33-digit number). This software should let you get a clearer picture at a given moment."
A1_JAMAIS,"Avant toute chose, vous ne devriez [b]jamais[/b] montrer le sociogramme à vos élèves si vous en faites un, seulement le plan de classe.","First and foremost, were you to draw one, you should [b]never[/b] show the the sociogram to your pupils, only the seating plan."
